LLR,prediction,true_label
-24.563986999814162,0,0.0
-34.51777321277943,0,0.0
-33.88152951071403,0,0.0
-24.795786250310037,0,0.0
-42.46219061077866,0,0.0
-24.447936031803998,0,0.0
-39.57188059897096,0,0.0
0.3964873185111273,-1,0.0
-22.8216343407731,0,0.0
-32.56907077086936,0,0.0
-37.07067145415155,0,0.0
-18.312590896278458,0,0.0
-13.679538271164285,0,0.0
-26.06693085463553,0,0.0
-35.13458424826719,0,0.0
-30.01960765758389,0,0.0
-32.14964879209256,0,0.0
-29.23351314876075,0,0.0
-36.65022307557169,0,0.0
-20.978688062970733,0,0.0
-32.11841767709769,0,0.0
-27.718779575905316,0,0.0
-16.56779831904259,0,0.0
-40.047075299135926,0,0.0
-15.872196045810647,0,0.0
-30.890936787608844,0,0.0
-19.476282465534332,0,0.0
-19.11470576092863,0,0.0
-27.33152324172676,0,0.0
-29.700387944915878,0,0.0
-19.982759265024725,0,0.0
-16.870250593463425,0,0.0
-29.744988590297254,0,0.0
-29.927853121822512,0,0.0
-27.426632226504488,0,0.0
-22.62493735505457,0,0.0
-20.297889626515545,0,0.0
-31.643402259028832,0,0.0
-15.85948647501406,0,0.0
-21.687116461340047,0,0.0
-24.877099441294888,0,0.0
-27.902677069130167,0,0.0
-25.673464087478234,0,0.0
-28.027764802675055,0,0.0
-29.66980827717403,0,0.0
-21.34267682355908,0,0.0
-42.99148675261478,0,0.0
-13.352399280058204,0,0.0
-21.400145971180827,0,0.0
-21.13101168822432,0,0.0
-36.01432538648395,0,0.0
-18.610934941492665,0,0.0
-20.064665739389028,0,0.0
-22.42133326033123,0,0.0
-21.050378555867738,0,0.0
-33.242541940476684,0,0.0
-14.601296069040458,0,0.0
-20.274494942104063,0,0.0
-41.06103387981524,0,0.0
-19.897598391427422,0,0.0
-36.615350436369255,0,0.0
-22.460870063480026,0,0.0
-35.60232837013601,0,0.0
-19.844416408218798,0,0.0
-32.34162458876622,0,0.0
-27.44180442917295,0,0.0
-19.15096654543973,0,0.0
-31.94333309232813,0,0.0
-24.757238074584897,0,0.0
-22.579917727152186,0,0.0
-26.322770784160685,0,0.0
-21.547911910201307,0,0.0
-22.300274238777057,0,0.0
-29.43174342796476,0,0.0
-41.95901065022417,0,0.0
-22.27061086257674,0,0.0
-27.876197179793685,0,0.0
-15.16964341526463,0,0.0
-24.724845439427998,0,0.0
-27.066609886757902,0,0.0
-14.367386336336287,0,0.0
-19.357425478145252,0,0.0
-19.97283438498328,0,0.0
-11.33173965645718,0,0.0
-27.20503018135883,0,0.0
-25.480828322808005,0,0.0
-20.51615584655155,0,0.0
-23.87296717806376,0,0.0
-20.078307653494093,0,0.0
-27.761625081773243,0,0.0
-31.964686684546805,0,0.0
-41.7688321851039,0,0.0
-26.57974663238679,0,0.0
-34.195877418028076,0,0.0
-25.360425666476054,0,0.0
-29.96261133916214,0,0.0
-32.08477269866785,0,0.0
-25.616456233197173,0,0.0
-31.396861223036034,0,0.0
-26.36122997713973,0,0.0
-25.229212723236447,0,0.0
-27.384569282717134,0,0.0
-11.175066188219798,0,0.0
-31.798316909118174,0,0.0
-22.534632267620903,0,0.0
-34.13355987234183,0,0.0
-35.0998173573066,0,0.0
-29.574748455741712,0,0.0
-29.83085847259263,0,0.0
-33.97058021064818,0,0.0
-19.155179285676866,0,0.0
-29.259539714333883,0,0.0
-22.891211663341178,0,0.0
-37.30049089840051,0,0.0
-39.15237563240428,0,0.0
-35.10167567206294,0,0.0
-29.263541800314037,0,0.0
-24.642625677119618,0,0.0
-28.355610469198922,0,0.0
-16.558554114090036,0,0.0
-24.497778216763855,0,0.0
-20.799509330811134,0,0.0
-19.99441546551786,0,0.0
-19.232399790157785,0,0.0
-27.764076054546507,0,0.0
-23.298964965829146,0,0.0
-26.20383110420633,0,0.0
-31.158011729034293,0,0.0
-21.61665168317182,0,0.0
-18.961216140687284,0,0.0
-26.360236517820837,0,0.0
-35.02521132405633,0,0.0
-31.856884952803394,0,0.0
-35.26809269508887,0,0.0
-27.853682697701835,0,0.0
-26.585651635313464,0,0.0
-20.54188986621717,0,0.0
-43.18358463407475,0,0.0
-29.211319439896386,0,0.0
-15.975327540522509,0,0.0
-31.579020509212555,0,0.0
-26.06979982624397,0,0.0
-27.734789503701922,0,0.0
-17.90763827080081,0,0.0
-31.7193188123166,0,0.0
-38.64151209463054,0,0.0
-27.97859265116533,0,0.0
-34.79224544853544,0,0.0
-33.54943742494415,0,0.0
-36.1559636478963,0,0.0
-30.41191566576134,0,0.0
-31.809964420593488,0,0.0
-17.504491061911867,0,0.0
-39.36636882027288,0,0.0
-30.81763462907545,0,0.0
-27.785966926366548,0,0.0
-15.876472701529757,0,0.0
-29.082527463442847,0,0.0
-26.871067381842522,0,0.0
-25.828975927600393,0,0.0
-36.877998077572144,0,0.0
-14.522345431811162,0,0.0
-23.21764817208065,0,0.0
-33.926481163757884,0,0.0
-24.688494275381867,0,0.0
-13.942384843397504,0,0.0
-25.68634501366393,0,0.0
-25.10688519346348,0,0.0
-29.27798423161676,0,0.0
-24.88583537846094,0,0.0
-30.141848992621107,0,0.0
-31.578664567378496,0,0.0
-26.937247340776263,0,0.0
-25.472583722532587,0,0.0
-46.23837533748666,0,0.0
-27.484295904599705,0,0.0
-24.49526412859523,0,0.0
-28.93817579898799,0,0.0
-32.29309793886712,0,0.0
-12.276575323412022,0,0.0
-24.506074348295627,0,0.0
-20.40358602751357,0,0.0
-30.476599470493177,0,0.0
-22.710528731674025,0,0.0
-41.487375649747335,0,0.0
-29.874299580480457,0,0.0
-24.607731226232524,0,0.0
-29.779412038617295,0,0.0
-24.90204163185515,0,0.0
-21.279220550576454,0,0.0
-22.75464927455107,0,0.0
-31.472576896450672,0,0.0
-23.793753037607033,0,0.0
-33.246123739132784,0,0.0
-17.978019485310615,0,0.0
-44.52658650777842,0,0.0
