P_hotspot,prediction,true_label
1.2269618560375787e-12,0,0.0
2.044272908466962e-06,0,0.0
2.1309910956885153e-17,0,0.0
1.5901801449942877e-14,0,0.0
1.1230406347447755e-12,0,0.0
3.1236615501367924e-14,0,0.0
2.448388783514716e-12,0,0.0
2.6109469456504444e-17,0,0.0
1.008539135721826e-06,0,0.0
2.1482685027051005e-20,0,0.0
1.6662033664030637e-11,0,0.0
1.4528614371566798e-16,0,0.0
3.8695524342087706e-13,0,0.0
3.2333958122163766e-06,0,0.0
3.5481731998738196e-14,0,0.0
4.731577012054382e-19,0,0.0
1.426420299662318e-17,0,0.0
1.1430991097288386e-16,0,0.0
6.452128605960202e-17,0,0.0
3.889162862816e-14,0,0.0
5.736329485317632e-09,0,0.0
4.3343466175339514e-17,0,0.0
5.77439193629054e-17,0,0.0
5.810588514319641e-12,0,0.0
2.341680828749154e-23,0,0.0
4.305504691805753e-07,0,0.0
2.5426598180838762e-11,0,0.0
1.792252754764739e-14,0,0.0
1.9179683032634298e-09,0,0.0
4.6463938333434746e-07,0,0.0
9.46631605823634e-09,0,0.0
1.3157384627687014e-15,0,0.0
9.54719105658979e-14,0,0.0
1.660026302191121e-14,0,0.0
1.0372595516529599e-21,0,0.0
1.880039898609574e-11,0,0.0
7.832472797414554e-10,0,0.0
9.253579504276724e-12,0,0.0
2.038206332554192e-18,0,0.0
1.677692303417941e-06,0,0.0
2.0160977227318737e-18,0,0.0
1.4079103405228146e-11,0,0.0
2.585247487722499e-15,0,0.0
5.746459164051577e-14,0,0.0
2.350913004915474e-13,0,0.0
7.368144085609963e-15,0,0.0
5.4018447266918465e-15,0,0.0
3.209074934705492e-07,0,0.0
1.682734758949641e-16,0,0.0
7.717397848084769e-18,0,0.0
8.426631491385167e-11,0,0.0
2.886661190709288e-13,0,0.0
2.6285082012677397e-10,0,0.0
3.198941235882905e-09,0,0.0
1.7229955993531654e-14,0,0.0
9.259694950952088e-10,0,0.0
4.912566685481036e-16,0,0.0
1.568776439746921e-08,0,0.0
